Aircraft;Engine;Role;Registration;Seats;Cargo Capacity (t);Flight Number;Date;Take-off Time (UTC);Origin Airport;Destination Airport;Distance OD (km);Distance Flown (km);CO2 (kgCO2e);Contrails (kgCO2e)
A320;V2527-A5;PAX;EC-MGE;186.0;0.0;VY6503;23/05/2023;23/05/2023 19:43;LIRN;LEBL;1023.6083493220387;1113.3184428967304;13671.74602070606;0.0
A321;V2533-A5;PAX;EC-MHB;220.0;0.0;VY8152;15/12/2023;15/12/2023 08:11;LEVC;LFPO;1051.673874007024;1183.072907081244;16652.86013116208;0.0
A320;CFM56-5B6/3;PAX;EC-KLT;180.0;0.0;VY8246;16/03/2023;16/03/2023 18:53;LEBL;LFPG;858.7380115037018;951.1053585997464;12169.605050032744;142445.69650875957
A320;V2527-A5;PAX;EC-LVT;180.0;0.0;VY3840;19/10/2023;19/10/2023 08:12;LEPA;EDDM;1215.744849059725;1376.744066440099;16123.516340655604;0.0
A321;V2533-A5;PAX;EC-MLM;220.0;0.0;Unknown;31/10/2023;31/10/2023 20:29;LEPA;LEBL;201.96688121093285;251.4675886668361;6159.718511949585;0.0
A320;CFM56-5B4/3;PAX;EC-MBY;180.0;0.0;VY6367;19/08/2023;19/08/2023 11:06;LEST;LEZL;645.6782805549823;777.4869030643761;10546.60216217882;0.0
A320;CFM56-5B4/P;PAX;EC-JTR;180.0;0.0;Unknown;22/12/2023;22/12/2023 14:00;LEBL;LEZL;809.2782447899061;871.2489165389673;11409.90157061176;0.0
A320;V2527-A5;PAX;EC-MKM;186.0;0.0;VY6250;06/06/2023;06/06/2023 09:46;LFPO;LIRF;1088.6659905506278;1133.072805041004;13861.671890561303;0.0
A320;V2527-A5;PAX;EC-LUO;180.0;0.0;VY6246;02/06/2023;02/06/2023 06:08;LEBL;LSZH;855.9042394968873;1091.8710474651814;13481.820150850812;0.0
A20N;PW1127G-JM;PAX;EC-NAF;186.0;0.0;VY3277;10/02/2023;10/02/2023 15:37;GCXO;LEMG;1433.559265590338;1524.8766230585884;13877.736353807526;1301.5678494883114
A320;CFM56-5B4/3;PAX;EC-MAH;180.0;0.0;VY2472;28/08/2023;28/08/2023 09:53;LEBL;GCRR;1974.1262423414275;2045.6652771837903;22488.09541971861;0.0
A320;V2527-A5;PAX;EC-MFM;180.0;0.0;VY2286;31/05/2023;31/05/2023 10:52;LEBL;LEJR;865.7247045465681;920.960024439356;11876.083251165546;0.0
A320;V2527-A5;PAX;EC-MER;180.0;0.0;VY3422;24/09/2023;24/09/2023 13:56;LEIB;LEMD;458.2453422657772;514.8209225486146;8094.831842229275;0.0
A320;V2527-A5;PAX;EC-MYC;186.0;0.0;VY6110;21/04/2023;21/04/2023 13:04;LEBL;LIRF;847.9678302098054;970.6393554286052;12342.264931719334;-109386.77166073954
A321;V2533-A5;PAX;EC-MHS;220.0;0.0;VY8004;13/01/2023;13/01/2023 09:05;LEBL;LFPO;826.0961118302938;971.6135755437704;14274.692845694435;0.0
A320;CFM56-5B4/P;PAX;EC-JTQ;180.0;0.0;VY2121;23/09/2023;23/09/2023 12:27;LEBL;LEMG;765.966389686389;825.2698523498749;10995.51785456395;0.0
A20N;PW1127G-JM;PAX;EC-NIJ;186.0;0.0;VY6293;11/01/2023;11/01/2023 14:54;EHAM;LIRF;1296.8138808739675;1353.5688891668744;12664.738611813942;3685.5180243435057
A20N;PW1127G-JM;PAX;EC-NCT;186.0;0.0;VY3137;09/07/2023;09/07/2023 12:02;LEST;GCRR;1619.2551302114596;1712.1870662152298;15222.581676452588;0.0
A320;CFM56-5B4/3;PAX;EC-LVP;180.0;0.0;VY2012;22/07/2023;22/07/2023 08:57;LEBL;LEGR;680.1368145509944;729.4706230491261;10097.686469793693;0.0
A20N;PW1127G-JM;PAX;EC-NIX;186.0;0.0;VY8301;16/05/2023;16/05/2023 08:32;EHAM;LEBL;1241.1362442046452;1318.3134234121064;12414.228208576136;383.73785272997975
A20N;PW1127G-JM;PAX;EC-NCU;186.0;0.0;V72474;24/05/2023;24/05/2023 19:53;LEBL;GCRR;1974.1262423414275;2051.901565839973;17857.739463659174;0.0
A319;CFM56-5B6/P;PAX;EC-MGF;144.0;0.0;VY7721;28/10/2023;28/10/2023 14:01;LDDU;LEBL;1344.587475338898;;15518.900848850264;
A20N;PW1127G-JM;PAX;EC-NIX;186.0;0.0;VY6248;03/02/2023;03/02/2023 17:08;LEBL;LSZH;855.9042394968873;981.3481835869918;10014.60224071926;6332.167468962997
A21N;PW1133G-JM;;EC-NYC;230.0;0.0;VY8152;01/03/2023;01/03/2023 08:41;LEVC;LFPO;1051.673874007024;1109.7383621552056;12497.81785306279;0.0
A320;CFM56-5B4/3;PAX;EC-MBY;180.0;0.0;VY3250;23/08/2023;23/08/2023 18:30;LEZL;GCXO;1390.1408343101732;1438.6788325870186;16710.559938390004;652.2054406488612
A20N;PW1127G-JM;PAX;EC-NEA;186.0;0.0;VY8479;31/03/2023;31/03/2023 16:13;LPPR;LEBL;898.660944743925;984.9140027610258;10040.971756849556;0.0
A320;V2527-A5;PAX;EC-MVE;186.0;0.0;VY2655;26/07/2023;26/07/2023 14:03;LEMG;LEST;768.2318308580365;892.8646951368277;11617.093428635664;0.0
A320;V2527-A5;PAX;EC-MEA;180.0;0.0;VY1436;10/08/2023;10/08/2023 20:23;LEBL;LEBB;466.810876844104;497.88700636517257;7939.437948711346;0.0
A20N;PW1127G-JM;PAX;EC-NAE;186.0;0.0;Unknown;10/04/2023;10/04/2023 16:34;LIRF;EGKK;1405.917409558029;1520.5993127226602;13851.366837677231;148998.00080751762
A320;CFM56-5B4/3;PAX;EC-MAO;180.0;0.0;VY1005;27/09/2023;27/09/2023 11:40;LEMD;LEBL;482.93021580816446;560.7674396457497;8526.481546445742;0.0
A320;CFM56-5B4/3;PAX;EC-LLJ;180.0;0.0;VY6607;02/11/2023;02/11/2023 13:17;GCLP;EGKK;2878.686576108463;2993.3352796507943;31867.23333567821;0.3017568509112826
A20N;PW1127G-JM;PAX;EC-NCU;186.0;0.0;VY3015;04/12/2023;04/12/2023 12:34;GCFV;LEBL;2031.892145754001;2126.8519364210238;18467.480549703807;12158.261750273366
A20N;PW1127G-JM;PAX;EC-NAY;186.0;0.0;VY3213;14/02/2023;14/02/2023 07:02;GCXO;LEBL;2194.5028527808254;2338.94483124117;20220.48617208211;0.0
A320;V2527-A5;PAX;EC-MKO;186.0;0.0;VY2708;27/08/2023;27/08/2023 13:34;LEBB;LPFR;820.126985270856;893.7892177510979;11634.359416804324;8409.961844474792
A20N;PW1127G-JM;PAX;EC-NIY;186.0;0.0;VY3068;18/01/2023;18/01/2023 10:44;LEMG;GCLP;1409.5460140854718;1539.2742839362784;13983.214418328707;0.0
A321;V2533-A5;PAX;EC-MPV;220.0;0.0;VY8100;30/01/2023;30/01/2023 09:49;LEBL;LGAV;1904.5077318023027;1958.4878367409176;25450.90105217263;0.0
A320;CFM56-5B4/3;PAX;EC-MBF;180.0;0.0;VY6215;06/09/2023;06/09/2023 04:51;LEMG;LIRF;1548.024409745077;1599.2637871792012;18212.700909063315;-117.05983550555156
A320;V2527-A5;PAX;EC-LRY;180.0;0.0;VY8303;10/01/2023;10/01/2023 13:36;EHAM;LEBL;1241.1362442046452;1285.778007392447;15277.482920391323;49834.8090437223
A320;CFM56-5B4/P;PAX;EC-JSY;180.0;0.0;VY3702;30/12/2023;30/12/2023 17:29;LEBL;LEMH;241.0492606878899;257.552586077764;5161.285076092628;0.0
A320;V2527-A5;PAX;EC-MER;180.0;0.0;VY6613;20/09/2023;20/09/2023 13:42;LIBD;LEBL;1226.7002464174584;1267.6445592433708;15104.823038704735;261697.1090295948
A320;V2527-A5;PAX;EC-MFL;180.0;0.0;VY8714;18/09/2023;18/09/2023 11:14;LEBL;LOWW;1369.6879770988733;1447.742495490363;16796.8898792333;172392.1780018254
A20N;PW1127G-JM;PAX;EC-NFK;186.0;0.0;VY7822;23/08/2023;23/08/2023 05:24;LEBL;EGKK;1109.0539170109523;1298.468381390844;12269.195869859512;-860.1018435570247
A320;V2527-A5;PAX;EC-MXG;186.0;0.0;VY8365;20/12/2023;20/12/2023 10:12;LEMG;EHAM;1883.6573073377576;1990.112424679677;21937.461099799268;-49995.55214036792
A20N;PW1127G-JM;PAX;EC-NAE;186.0;0.0;Unknown;13/08/2023;13/08/2023 05:00;LEZL;LFPG;1457.4451313122115;1565.390555634887;14167.801031240777;0.0
A321;V2533-A5;PAX;EC-MPV;220.0;0.0;Unknown;19/11/2023;19/11/2023 16:47;LFPO;LEBL;826.0961118302938;861.0388653806087;13023.025853343044;11532.075111340104
A320;CFM56-5B4/P;PAX;EC-JTQ;180.0;0.0;VY2972;30/08/2023;30/08/2023 18:27;LEBL;LFRS;714.2352201762058;790.7102516740912;10667.464079359434;0.0
A321;CFM56-5B3/3;PAX;EC-NLX;220.0;0.0;VY2216;28/11/2023;28/11/2023 14:48;LEBL;LEZL;809.2782447899061;877.6618192402078;13210.775902195754;30278.138734787477
A320;CFM56-5B6/3;PAX;EC-KMI;180.0;0.0;Unknown;23/05/2023;23/05/2023 06:05;LEPA;LEBL;201.96688121093285;328.28202633627365;6000.057740072261;0.0
A320;CFM56-5B4/3;PAX;EC-MBL;180.0;0.0;VY1512;06/04/2023;06/04/2023 11:37;LEBL;LFML;351.2476598575437;420.1492163696593;7103.705982150727;0.0
A320;V2527-A5;PAX;EC-MYC;186.0;0.0;VY1221;05/10/2023;05/10/2023 12:58;LFLL;LEBL;548.6324974283636;619.3028961709011;9061.727179674166;0.0
A320;CFM56-5B6/P;PAX;EC-KHN;180.0;0.0;VY1429;12/03/2023;12/03/2023 15:16;LEBB;LEBL;466.810876844104;525.6161771511951;8198.427771241228;0.0
A320;V2527-A5;PAX;EC-MEA;180.0;0.0;VY7293;10/10/2023;10/10/2023 18:34;EGKK;LEBB;896.2343404083921;1012.5717594611966;12739.382659598485;102448.8459428088
A320;V2527-A5;PAX;EC-MYC;186.0;0.0;VY2011;24/10/2023;24/10/2023 07:17;LEGR;LEBL;680.1368145509944;803.0238653982304;10788.325996540045;0.0
A20N;PW1127G-JM;PAX;EC-NAX;186.0;0.0;VY6247;09/09/2023;09/09/2023 07:30;LSZH;LEBL;855.9042394968873;897.8003435389792;9421.288127787617;0.0
A321;V2533-A5;PAX;EC-MHB;220.0;0.0;VY8945;17/05/2023;17/05/2023 17:38;EGKK;LFPO;326.33001669691305;430.0872406632223;8162.38569971181;0.0
A321;V2533-A5;PAX;EC-MLM;220.0;0.0;VY6402;18/07/2023;18/07/2023 12:25;LEBL;LIPZ;951.7499664555206;1062.8659991778331;15296.887556114736;0.0
A320;CFM56-5B4/P;PAX;EC-JZI;180.0;0.0;VY8467;25/03/2023;25/03/2023 15:11;LPPT;LEBL;994.0003331037478;1122.6683635716738;13758.075961549352;0.0
A321;V2533-A5;PAX;EC-MQL;220.0;0.0;VY3920;06/07/2023;06/07/2023 19:34;LEBL;LEPA;201.96688121093285;243.57642839759365;6076.274045792826;0.0
A320;V2527-A5;PAX;EC-MOG;186.0;0.0;VY3163;21/01/2023;21/01/2023 09:45;GCLP;LEST;1778.2054874068783;1794.238422347135;20025.62966677249;0.0
A20N;PW1127G-JM;PAX;EC-NAJ;186.0;0.0;VY6017;18/12/2023;18/12/2023 20:40;LEZL;EGKK;1591.558571178804;1670.8996931658578;14919.332240954192;6677.791052597779
A320;V2527-A5;PAX;EC-MKO;186.0;0.0;Unknown;24/11/2023;24/11/2023 13:57;LEIB;LEBL;276.1540864735084;333.3890748419969;6066.276634596969;0.0
A320;CFM56-5B4/3;PAX;EC-KLB;180.0;0.0;VY2111;21/12/2023;21/12/2023 08:13;LEBL;LEMG;765.966389686389;844.7305822598014;11168.177736250536;0.0
A320;CFM56-5B4/3;PAX;EC-MBD;180.0;0.0;Unknown;09/01/2023;09/01/2023 10:53;LEBB;LEVC;469.7343062402431;598.3368732373642;8871.80130981892;0.0
A319;CFM56-5B6/3;PAX;EC-MIR;144.0;0.0;VY1505;13/08/2023;13/08/2023 19:47;LFPO;LIRQ;870.091904104308;987.2336986855008;11601.259155050097;0.0
A320;V2527-A5;PAX;EC-MJC;186.0;0.0;VY3974;20/10/2023;20/10/2023 17:44;LEBB;LEIB;609.1855596217713;723.8241298632131;10045.888505287716;0.0
A20N;PW1127G-JM;PAX;EC-NFK;186.0;0.0;Unknown;06/01/2023;06/01/2023 21:13;LEAS;LEBL;711.5818927865375;801.0854607106645;8735.680708399937;494.1941758168993
A321;V2533-A5;PAX;EC-MHS;220.0;0.0;VY8431;04/09/2023;04/09/2023 18:28;LIMC;LFPO;590.0383296647423;692.6752920014463;11124.664248276767;0.0
A20N;PW1127G-JM;PAX;EC-NFK;186.0;0.0;VY3909;30/06/2023;30/06/2023 12:42;LEPA;LEBL;201.96688121093285;275.2029339242993;4386.680419679272;0.0
A319;CFM56-5B6/P;PAX;EC-NGB;144.0;0.0;VY1502;10/10/2023;10/10/2023 04:57;LIRQ;LFPO;870.091904104308;915.5376869541948;10975.078720385316;0.0
A20N;PW1127G-JM;PAX;EC-NAY;186.0;0.0;Unknown;29/06/2023;29/06/2023 21:01;LPPT;LEBL;994.0003331037478;1144.4617852173635;11174.860950452256;0.0
A20N;PW1127G-JM;PAX;EC-NCG;186.0;0.0;VY2212;24/07/2023;24/07/2023 07:28;LEBL;LEZL;809.2782447899061;882.6770108917354;9315.810063266434;0.0
A20N;PW1127G-JM;PAX;EC-NAY;186.0;0.0;VY3730;19/06/2023;19/06/2023 10:11;LEBL;LEMH;241.0492606878899;257.42439298099185;4214.797806033177;0.0
A320;CFM56-5B4/3;PAX;EC-LOB;180.0;0.0;VY3911;26/09/2023;26/09/2023 14:06;LEPA;LEBL;201.96688121093285;288.7687831413424;5536.525478399307;0.0
A321;V2533-A5;PAX;EC-MQB;220.0;0.0;VY3006;15/10/2023;15/10/2023 15:43;LEBL;GCLP;2174.4948701069866;2257.583486468668;29003.64622718116;0.0
A321;V2533-A5;PAX;EC-MGY;220.0;0.0;VY8574;22/06/2023;22/06/2023 17:28;LFPO;EGBB;506.7489018780119;603.0212856187236;10123.330654395657;0.0
A321;V2533-A5;PAX;EC-MHA;220.0;0.0;VY6937;19/11/2023;19/11/2023 13:49;LEIB;LFPO;1098.2641741532054;1253.3142997661291;17445.58255965129;0.0
A321;CFM56-5B3/3;PAX;EC-NLY;220.0;0.0;VY8748;28/12/2023;28/12/2023 10:46;LEBL;EGCC;1379.1562209387153;1494.6062350357902;20168.2993245914;151208.61813512477
A319;CFM56-5B6/3;PAX;EC-MIR;144.0;0.0;VY1503;30/06/2023;30/06/2023 07:54;LFPO;LIRQ;870.091904104308;1112.7393306250372;12693.060938568176;0.0
A320;CFM56-5B4/P;PAX;EC-JTR;180.0;0.0;VY1426;04/02/2023;04/02/2023 12:57;LEBL;LEBB;466.810876844104;491.4794879167774;7870.37399603671;0.0
A320;V2527-A5;PAX;EC-MVD;186.0;0.0;VY6334;13/04/2023;13/04/2023 14:15;LEBL;LIMC;720.7942696840571;835.4453256266873;11081.847795407242;0.0
A320;CFM56-5B4/P;PAX;EC-KDG;180.0;0.0;VY8023;20/08/2023;20/08/2023 20:16;LFPO;LEBL;826.0961118302938;953.723499426062;12186.871038201403;0.0
A321;V2533-A5;PAX;EC-MMU;220.0;0.0;VY8429;12/08/2023;12/08/2023 07:32;LIMC;LFPO;590.0383296647423;637.8804761282883;10498.830752101074;0.0
A321;V2533-A5;PAX;EC-MPV;220.0;0.0;VY3015;24/07/2023;24/07/2023 09:44;GCFV;LEBL;2031.892145754001;2166.326169537472;27914.883653942805;0.0
A321;V2533-A5;PAX;EC-MQB;220.0;0.0;VY8017;05/01/2023;05/01/2023 16:38;LFPO;LEBL;826.0961118302938;861.0104345972992;13023.025853343044;8785.165920583628
A320;CFM56-5B4/3;PAX;EC-MBY;180.0;0.0;VY3261;08/02/2023;08/02/2023 07:11;GCXO;LEBB;2038.4901413073524;2151.0407444611733;23515.946150234737;0.0
A320;V2527-A5;PAX;EC-MYC;186.0;0.0;VY2702;13/08/2023;13/08/2023 17:05;LEBB;LPPR;526.666053879379;600.2328540650576;8889.067297987578;0.0
A320;CFM56-5B4/3;PAX;EC-LOC;180.0;0.0;VY2218;03/08/2023;03/08/2023 15:54;LEBL;LEZL;809.2782447899061;836.3486844249722;11099.113783575902;0.0
A320;V2527-A5;PAX;EC-MYC;186.0;0.0;VY1221;26/05/2023;26/05/2023 13:17;LFLL;LEBL;548.6324974283636;699.9413327487763;9821.430659095153;0.0
A321;V2533-A5;PAX;EC-MGY;220.0;0.0;VY8428;31/07/2023;31/07/2023 05:27;LFPO;LIMC;590.0383296647423;773.2194992624899;12042.553376001122;0.0
A320;CFM56-5B6/P;PAX;EC-KCU;180.0;0.0;VY3715;09/01/2023;09/01/2023 10:39;LESL;LEBL;243.20433917915207;266.9710228201848;5271.649900300474;0.0
A321;V2533-A5;PAX;EC-MMU;220.0;0.0;VY8245;24/11/2023;24/11/2023 14:19;LFPG;LEBL;858.7380115037018;903.7029460350936;13502.83153374441;0.0
A320;CFM56-5B4/3;PAX;EC-KRH;180.0;0.0;VY3715;13/12/2023;13/12/2023 09:32;LEMH;LEBL;241.0492606878899;279.4374172613154;5426.16065419146;0.0
A320;V2527-A5;PAX;EC-MFK;180.0;0.0;VY2454;11/09/2023;11/09/2023 04:47;LEIB;LEMG;570.9105866770736;637.8205498664917;9234.387061360754;-308.2119271630181
A320;V2527-A5;PAX;EC-MVN;180.0;0.0;VY7574;20/03/2023;20/03/2023 14:48;LEBL;GBYD;3599.884031630533;;38823.58024399267;
A20N;PW1127G-JM;PAX;EC-NAV;186.0;0.0;VY2012;22/04/2023;22/04/2023 07:48;LEBL;LEGR;680.1368145509944;765.355820546735;8471.985547096983;-33677.830556692825
A20N;PW1127G-JM;PAX;EC-NFK;186.0;0.0;VY1307;27/12/2023;27/12/2023 11:46;LEBL;LEAL;403.8531061870535;453.9510148536002;6036.753510681781;0.0
A20N;PW1127G-JM;PAX;EC-NAV;186.0;0.0;VY2972;16/06/2023;16/06/2023 18:46;LEBL;LFRS;714.2352201762058;750.2635350320668;8366.507482575802;0.0
A320;CFM56-5B6/P;PAX;EC-KDT;180.0;0.0;VY1867;11/04/2023;11/04/2023 20:12;EDDS;LEBL;994.6559866495118;1085.905675971369;13412.756198176176;20196.201410996324
A321;V2533-A5;PAX;EC-MPV;220.0;0.0;VY6947;09/01/2023;09/01/2023 13:20;EGKK;LFPO;326.33001669691305;537.0293853041309;9372.33045898482;0.0
A320;V2527-A5;PAX;EC-LUO;180.0;0.0;VY3519;05/09/2023;05/09/2023 20:51;LEIB;LEBL;276.1540864735084;378.8325048583093;6618.100755636201;0.0
A320;CFM56-5B4/3;PAX;EC-LLM;180.0;0.0;VY2212;16/08/2023;16/08/2023 07:26;LEBL;LEZL;809.2782447899061;872.6913337518696;11427.167558780417;-5644.187955423653
A320;CFM56-5B4/3;PAX;EC-LVP;180.0;0.0;Unknown;07/11/2023;07/11/2023 16:44;LEBL;LEPA;201.96688121093285;240.04481760514363;4962.628392518504;0.0
A320;V2527-A5;PAX;EC-MEQ;186.0;0.0;VY3901;30/01/2023;30/01/2023 07:06;LEPA;LEBL;201.96688121093285;263.7374814488439;5227.503970617337;0.0
A320;V2527-A5;PAX;EC-MXG;186.0;0.0;VY3695;06/06/2023;06/06/2023 11:25;LEVC;LEIB;173.93505387158268;174.916451224212;4168.00165822201;0.0
A320;V2527-A5;PAX;EC-MOG;186.0;0.0;VY6366;23/11/2023;23/11/2023 11:25;LEZL;LEST;645.6782805549823;746.1748466868492;10253.080363311625;0.0
A321;V2533-A5;PAX;EC-MLD;220.0;0.0;Unknown;05/01/2023;05/01/2023 17:21;LIMC;LEBL;720.7942696840571;765.2191009822551;11938.247793305174;0.0
